Designator,Mid X,Mid Y,Layer,Rotation
SW1,35.464,43.18,top,0
C1,44.3,16.435999,top,90
C2,46.8,16.863999,top,90
C3,82.9465,19.83,top,0
C4,31.72,21.648001,top,-90
C5,34.22,22.076001,top,-90
C6,78.468,4.647,top,90
C7,67.072,22.542,top,180
C8,71.746,16.58,top,0
C9,18.542,16.256,top,-90
C10,72.136,18.796,top,0
C11,55.524,19.12,top,90
C12,13.795,4.658,top,-90
C13,13.859,13.249,top,90
C14,22.098,8.382,top,-90
C15,1.987,38.17,top,90
C16,24.557998,7.954,top,-90
C17,4.487,37.742,top,90
C18,35.306,37.084,top,0
C19,46.18775,39.1265,top,180
C20,29.21,37.084,top,0
C21,52.824,37.632,top,180
C22,52.324,40.132,top,180
D1,29.22,22.106001,top,90
D2,69.088,5.588,top,-90
D3,65.088,5.608,top,-90
D4,51.156,2.62,top,-90
D5,55.524,2.62,top,-90
D6,53.34,2.62,top,-90
D7,82.9115,26.63,top,0
D8,82.9115,24.13,top,0
SW2,29.464,43.18,top,0
F1,75.484,4.33,top,-90
F2,51.156,19.12,top,90
J1,81.026,34.798,top,180
J2,42.488,8.883,top,180
J3,13.987,41.742,top,0
J4,82.39,13.008,top,90
J5,5.074068,18.962,top,-90
J6,5.059818,5.588,top,-90
J7,5.088318,12.275,top,-90
Q1,28.964,29.68,top,-90
Q2,34.664,29.68,top,-90
R1,75.057,8.946,top,180
R2,76.2,16.272,top,90
R3,82.984,6.08,top,0
R4,29.14,18.494,top,90
R5,68.072,17.542,top,90
R6,67.072,20.542,top,180
R7,66.072,17.542,top,-90
R8,71.088,5.633,top,-90
R9,67.088,5.608,top,-90
R10,17.78,28.702,top,0
R11,9.906,28.702,top,180
R12,58.656,14.12,top,180
R13,58.656,12.12,top,180
R14,47.656,12.12,top,0
R15,58.656,10.12,top,180
R16,51.156,6.62,top,-90
R17,55.524,6.62,top,-90
R18,53.34,6.62,top,-90
R19,53.086,23.154,top,0
R20,53.086,25.654,top,0
R21,78.9115,26.63,top,0
R22,29.718,33.782,top,90
R23,35.56,33.782,top,90
R24,53.06175,35.3805,top,0
R25,53.06175,33.3485,top,0
R26,24.964,39.68,top,180
R27,39.37,34.798,top,90
R28,78.9115,24.13,top,0
R29,10.811,12.319,top,180
R30,10.795,5.588,top,180
U1,39.3,19.256,top,90
U2,75.057,12.446,top,90
U3,69.734,12.08,top,180
U4,21.649,16.4065,top,-90
U5,13.887001,31.0181,top,90
U6,53.156,13.12,top,0
U7,17.430001,8.89,top,0
U8,45.18775,35.1265,top,0
U9,66.36825,35.0575,top,0
