Reference,Qty,Value,Footprint,MFN,MPN,DNP
"C1,C5,C6,C8,C9,C11,C14,C17,C18,C19,C20,C21",12,0.1u,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,KEMET,C0805C104K4RACAUTO,
"C2,C4,C15,C22",4,10uF,schwengle-electronics:CAPC3216X110N,KEMET,T491A106K010AT7280,
C3,1,4n7,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,KEMET,C0805C472K5RECAUTO,
C7,1,1u,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,KEMET,C0805C105K4RACTU,
C10,1,4.7uF,schwengle-electronics:CAPC3216X110N,KEMET,T491A475K025AT,
"C12,C13",2,100pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,DNP
C16,1,1uF,schwengle-electronics:CAPC3216X110N,KEMET,T491A105K016AT,
"D1, D3, D4",3,LED RED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Lite-On Inc.,LTST-C170KRKT,
"D2, D5, D7",3,LED Green,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Lite-On Inc.,LTST-C170GKT,
"D6, D8",2,LED BLUE,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Lite-On Inc.,LTST-C170TBKT,
F1,1,Fuse,Fuse:Fuse_1210_3225Metric_Pad1.42x2.65mm_HandSolder,Bel Fuse Inc.,0ZCH0110AF2E,
F2,1,Fuse,Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Taiyo Yuden,FBMJ2125HM330-T,
J1,1,Conn_01x05_Pin,Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Vertical_SMD_Pin1Left,Samtec Inc.,TSM-105-01-L-SV,
J2,1,Conn_01x02_Socket,schwengle-electronics:JST_S2B-PH-SM4-TB,JST Sales America Inc.,S2B-PH-SM4-TB,
J3,1,6.93072E+11,Connector_Card:microSD_HC_Wuerth_693072010801,Wurth Elektronik,6.93072E+11,
J4,1,CX90B-16P1,schwengle-electronics:HIROSE_CX90B-16P1,Hirose Electric Co Ltd,CX90B-16P1,
"J5,J6,J7",3,282834-2,TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,TE Connectivity AMP Connectors,282834-2,
"Q1,Q2",2,BC817,Package_TO_SOT_SMD:SOT-23,Nexperia USA Inc.,"2PD1820AR,115",
"R1,R2",2,5k1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Stackpole Electronics Inc,RMCF0805FT5K10,
R3,1,1M,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Stackpole Electronics Inc,RMCF0805FT1M00,
R4,1,330,Resistor_SMD:R_0805_2012Metric,Stackpole Electronics Inc,RMCF0805FT330K,
R5,1,22K1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Stackpole Electronics Inc,RMCF0805FT22K1,
R6,1,47K5,Resistor_SMD:R_0805_2012Metric,Stackpole Electronics Inc,RMCF0805FT47K5,
R7,1,1K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Stackpole Electronics Inc,RNCP0805FTD1K00,
"R8,R9",2,330,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Stackpole Electronics Inc,RMCF0805FT330K,
"R10,R11,R12,R13,R14,R15,R16,R17,R18,R21,R22,R23,R26,R28",14,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Stackpole Electronics Inc,RMCF0805FT10K0,
"R19,R20",2,4k7,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Stackpole Electronics Inc,RMCF0805FT4K70,
"R24,R25,R27",3,50,Resistor_SMD:R_0805_2012Metric,Vishay Dale,CRCW080550R0FKTA,
"R29,R30",2,1k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,DNP
"SW1,SW2",2,TL3305AF260QG,schwengle-electronics:SW_TL3305AF260QG,E-Switch,TL3305AF260QG,
U1,1,LM1117MPX-3.3/NOPB,schwengle-electronics:DCY0004A_M,Texas Instruments,LM1117MPX-3.3/NOPB,
U2,1,"TVS, PRTR5V0U2X,215",Package_TO_SOT_SMD:SOT-143,Nexperia USA Inc.,"PRTR5V0U2X,215",
U3,1,CP2102N-Axx-xQFN20,Package_DFN_QFN:SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,Silicon Labs,CP2102N-A02-GQFN20,
U4,1,BME280_ADJ,Package_LGA:Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,Bosch Sensortec,BME280,
U5,1,IP4252CZ16-8-TTL_1,IP4252CZ16_8_TTL_1:QFN16_SOT1168-1_NEX,Nexperia USA Inc.,"IP4252CZ16-8-TTL,1",
U6,1,MCP73871,Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,Microchip Technology,MCP73871T-2CCI/ML,
U7,1,FDC1004DSCJ,FDC1004:DSC0010B,Texas Instruments,FDC1004DSCJ,
U8,1,W25Q32JVSS,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,Winbond Electronics,W25Q32JVSSIQ,
U9,1,ESP32-C3-WROOM-02,RF_Module:ESP32-C3-WROOM-02,Espressif Systems,ESP32-C3-WROOM-02-H4,
